cat,template,type
Nearest Neighbor Query,List the X LINE that are closest to POINT.,0
Nearest Neighbor Query,List the X LINE that are closest to REGION.,0
Nearest Neighbor Query,List the X POINT closest to LINE.,0
Nearest Neighbor Query,List the X POINT closest to POINT.,0
Nearest Neighbor Query,List the X POINT closest to REGION.,0
Nearest Neighbor Query,List the X POINT that are closest to LINE.,0
Nearest Neighbor Query,List the X POINT that are closest to POINT.,0
Nearest Neighbor Query,List the X POINT that are closest to REGION.,0
Nearest Neighbor Query,List the X REGION closest to LINE.,0
Nearest Neighbor Query,List the X REGION closest to POINT.,0
Nearest Neighbor Query,List the X REGION closest to REGION.,0
Nearest Neighbor Query,List the X REGION that are closest to LINE.,0
Nearest Neighbor Query,List the X REGION that are closest to POINT.,0
Nearest Neighbor Query,List the X REGION that are closest to REGION.,0
Nearest Neighbor Query,Locate the closest line in LINE near LINE.,0
Nearest Neighbor Query,Locate the closest line in LINE near POINT.,0
Nearest Neighbor Query,Locate the closest line in LINE near REGION.,0
Nearest Neighbor Query,Locate the closest LINE to LINE.,0
Nearest Neighbor Query,Locate the closest LINE to POINT.,0
Nearest Neighbor Query,Locate the closest LINE to REGION.,0
Nearest Neighbor Query,Locate the closest point in POINT near LINE.,0
Nearest Neighbor Query,Locate the closest point in POINT near POINT.,0
Nearest Neighbor Query,Locate the closest point in POINT near REGION.,0
Nearest Neighbor Query,Locate the closest POINT to LINE.,0
Nearest Neighbor Query,Locate the closest POINT to POINT.,0
Nearest Neighbor Query,Locate the closest POINT to REGION.,0
Nearest Neighbor Query,Locate the closest region in REGION near LINE.,0
Nearest Neighbor Query,Locate the closest region in REGION near POINT.,0
Nearest Neighbor Query,Locate the closest region in REGION near REGION.,0
Nearest Neighbor Query,Locate the closest REGION to LINE.,0
Nearest Neighbor Query,Locate the closest REGION to POINT.,0
Nearest Neighbor Query,Locate the closest REGION to REGION.,0
Nearest Neighbor Query,Locate the nearest line in LINE from LINE.,0
Nearest Neighbor Query,Locate the nearest line in LINE from POINT.,0
Nearest Neighbor Query,Locate the nearest line in LINE from REGION.,0
Nearest Neighbor Query,Locate the nearest LINE to LINE.,0
Nearest Neighbor Query,Locate the nearest LINE to POINT.,0
Nearest Neighbor Query,Locate the nearest LINE to REGION.,0
Nearest Neighbor Query,Locate the nearest point in POINT from LINE.,0
Nearest Neighbor Query,Locate the nearest point in POINT from POINT.,0
Nearest Neighbor Query,Locate the nearest point in POINT from REGION.,0
Nearest Neighbor Query,Locate the nearest POINT to LINE.,0
Nearest Neighbor Query,Locate the nearest POINT to POINT.,0
Nearest Neighbor Query,Locate the nearest POINT to REGION.,0
Nearest Neighbor Query,Locate the nearest region in REGION from LINE.,0
Nearest Neighbor Query,Locate the nearest region in REGION from POINT.,0
Nearest Neighbor Query,Locate the nearest region in REGION from REGION.,0
Nearest Neighbor Query,Locate the nearest REGION to LINE.,0
Nearest Neighbor Query,Locate the nearest REGION to POINT.,0
Nearest Neighbor Query,Locate the nearest REGION to REGION.,0
Nearest Neighbor Query,Locate the X closest LINE to LINE.,0
Nearest Neighbor Query,Locate the X closest LINE to POINT.,0
Nearest Neighbor Query,Locate the X closest LINE to REGION.,0
Nearest Neighbor Query,Locate the X closest POINT to LINE.,0
Nearest Neighbor Query,Locate the X closest POINT to POINT.,0
Nearest Neighbor Query,Locate the X closest POINT to REGION.,0
Nearest Neighbor Query,Locate the X closest REGION to LINE.,0
Nearest Neighbor Query,Locate the X closest REGION to POINT.,0
Nearest Neighbor Query,Locate the X closest REGION to REGION.,0
Nearest Neighbor Query,Locate the X nearest LINE to LINE.,0
Nearest Neighbor Query,Locate the X nearest LINE to POINT.,0
Nearest Neighbor Query,Locate the X nearest LINE to REGION.,0
Nearest Neighbor Query,Locate the X nearest POINT to LINE.,0
Nearest Neighbor Query,Locate the X nearest POINT to POINT.,0
Nearest Neighbor Query,Locate the X nearest POINT to REGION.,0
Nearest Neighbor Query,Locate the X nearest REGION to LINE.,0
Nearest Neighbor Query,Locate the X nearest REGION to POINT.,0
Nearest Neighbor Query,Locate the X nearest REGION to REGION.,0
Nearest Neighbor Query,Pinpoint the closest line in LINE relative to LINE.,0
Nearest Neighbor Query,Pinpoint the closest line in LINE relative to POINT.,0
Nearest Neighbor Query,Pinpoint the closest line in LINE relative to REGION.,0
Nearest Neighbor Query,Pinpoint the closest point in POINT relative to LINE.,0
Nearest Neighbor Query,Pinpoint the closest point in POINT relative to POINT.,0
Nearest Neighbor Query,Pinpoint the closest point in POINT relative to REGION.,0
Nearest Neighbor Query,Pinpoint the closest region in REGION relative to LINE.,0
Nearest Neighbor Query,Pinpoint the closest region in REGION relative to POINT.,0
Nearest Neighbor Query,Pinpoint the closest region in REGION relative to REGION.,0
Nearest Neighbor Query,Please find the X closest LINE to LINE.,0
Nearest Neighbor Query,Please find the X closest LINE to POINT.,0
Nearest Neighbor Query,Please find the X closest LINE to REGION.,0
Nearest Neighbor Query,Please find the X closest POINT to LINE.,0
Nearest Neighbor Query,Please find the X closest POINT to POINT.,0
Nearest Neighbor Query,Please find the X closest POINT to REGION.,0
Nearest Neighbor Query,Please find the X closest REGION to LINE.,0
Nearest Neighbor Query,Please find the X closest REGION to POINT.,0
Nearest Neighbor Query,Please find the X closest REGION to REGION.,0
Nearest Neighbor Query,Please find the X LINE nearest LINE.,0
Nearest Neighbor Query,Please find the X LINE nearest POINT.,0
Nearest Neighbor Query,Please find the X LINE nearest REGION.,0
Nearest Neighbor Query,Please find the X nearest LINE to LINE.,0
Nearest Neighbor Query,Please find the X nearest LINE to POINT.,0
Nearest Neighbor Query,Please find the X nearest LINE to REGION.,0
Nearest Neighbor Query,Please find the X nearest POINT to LINE.,0
Nearest Neighbor Query,Please find the X nearest POINT to POINT.,0
Nearest Neighbor Query,Please find the X nearest POINT to REGION.,0
Nearest Neighbor Query,Please find the X nearest REGION to LINE.,0
Nearest Neighbor Query,Please find the X nearest REGION to POINT.,0
Nearest Neighbor Query,Please find the X nearest REGION to REGION.,0
Nearest Neighbor Query,Please find the X POINT nearest LINE.,0
Nearest Neighbor Query,Please find the X POINT nearest POINT.,0
Nearest Neighbor Query,Please find the X POINT nearest REGION.,0
Nearest Neighbor Query,Please find the X REGION nearest LINE.,0
Nearest Neighbor Query,Please find the X REGION nearest POINT.,0
Nearest Neighbor Query,Please find the X REGION nearest REGION.,0
Nearest Neighbor Query,Please tell me the nearest LINE to this LINE.,0
Nearest Neighbor Query,Please tell me the nearest LINE to this POINT.,0
Nearest Neighbor Query,Please tell me the nearest LINE to this REGION.,0
Nearest Neighbor Query,Please tell me the nearest POINT to this LINE.,0
Nearest Neighbor Query,Please tell me the nearest POINT to this POINT.,0
Nearest Neighbor Query,Please tell me the nearest POINT to this REGION.,0
Nearest Neighbor Query,Please tell me the nearest REGION to this LINE.,0
Nearest Neighbor Query,Please tell me the nearest REGION to this POINT.,0
Nearest Neighbor Query,Please tell me the nearest REGION to this REGION.,0
Nearest Neighbor Query,Please tell me the X LINE closest to LINE.,0
Nearest Neighbor Query,Please tell me the X LINE closest to POINT.,0
Nearest Neighbor Query,Please tell me the X LINE closest to REGION.,0
Nearest Neighbor Query,Please tell me the X nearest LINE near LINE?,0
Nearest Neighbor Query,Please tell me the X nearest LINE near POINT?,0
Nearest Neighbor Query,Please tell me the X nearest LINE near REGION?,0
Nearest Neighbor Query,Please tell me the X nearest LINE to this LINE.,0
Nearest Neighbor Query,Please tell me the X nearest LINE to this POINT.,0
Nearest Neighbor Query,Please tell me the X nearest LINE to this REGION.,0
Nearest Neighbor Query,Please tell me the X nearest POINT near LINE?,0
Nearest Neighbor Query,Please tell me the X nearest POINT near POINT?,0
Nearest Neighbor Query,Please tell me the X nearest POINT near REGION?,0
Nearest Neighbor Query,Please tell me the X nearest POINT to this LINE.,0
Nearest Neighbor Query,Please tell me the X nearest POINT to this POINT.,0
Nearest Neighbor Query,Please tell me the X nearest POINT to this REGION.,0
Nearest Neighbor Query,Please tell me the X nearest REGION near LINE?,0
Nearest Neighbor Query,Please tell me the X nearest REGION near POINT?,0
Nearest Neighbor Query,Please tell me the X nearest REGION near REGION?,0
Nearest Neighbor Query,Please tell me the X nearest REGION to this LINE.,0
Nearest Neighbor Query,Please tell me the X nearest REGION to this POINT.,0
Nearest Neighbor Query,Please tell me the X nearest REGION to this REGION.,0
Nearest Neighbor Query,Please tell me the X POINT closest to LINE.,0
Nearest Neighbor Query,Please tell me the X POINT closest to POINT.,0
Nearest Neighbor Query,Please tell me the X POINT closest to REGION.,0
Nearest Neighbor Query,Please tell me the X REGION closest to LINE.,0
Nearest Neighbor Query,Please tell me the X REGION closest to POINT.,0
Nearest Neighbor Query,Please tell me the X REGION closest to REGION.,0
Nearest Neighbor Query,Please tell me where is the nearest LINE to LINE.,0
Nearest Neighbor Query,Please tell me where is the nearest LINE to POINT.,0
Nearest Neighbor Query,Please tell me where is the nearest LINE to REGION.,0
Nearest Neighbor Query,Please tell me where is the nearest POINT to LINE.,0
Nearest Neighbor Query,Please tell me where is the nearest POINT to POINT.,0
Nearest Neighbor Query,Please tell me where is the nearest POINT to REGION.,0
Nearest Neighbor Query,Please tell me where is the nearest REGION to LINE.,0
Nearest Neighbor Query,Please tell me where is the nearest REGION to POINT.,0
Nearest Neighbor Query,Please tell me where is the nearest REGION to REGION.,0
Nearest Neighbor Query,Provide details of the X closest LINE to LINE.,0
Nearest Neighbor Query,Provide details of the X closest LINE to POINT.,0
Nearest Neighbor Query,Provide details of the X closest LINE to REGION.,0
Nearest Neighbor Query,Provide details of the X closest POINT to LINE.,0
Nearest Neighbor Query,Provide details of the X closest POINT to POINT.,0
Nearest Neighbor Query,Provide details of the X closest POINT to REGION.,0
Nearest Neighbor Query,Provide details of the X closest REGION to LINE.,0
Nearest Neighbor Query,Provide details of the X closest REGION to POINT.,0
Nearest Neighbor Query,Provide details of the X closest REGION to REGION.,0
Nearest Neighbor Query,Provide information about the X closest LINE to LINE.,0
Nearest Neighbor Query,Provide information about the X closest LINE to POINT.,0
Nearest Neighbor Query,Provide information about the X closest LINE to REGION.,0
Nearest Neighbor Query,Provide information about the X closest POINT to LINE.,0
Nearest Neighbor Query,Provide information about the X closest POINT to POINT.,0
Nearest Neighbor Query,Provide information about the X closest POINT to REGION.,0
Nearest Neighbor Query,Provide information about the X closest REGION to LINE.,0
Nearest Neighbor Query,Provide information about the X closest REGION to POINT.,0
Nearest Neighbor Query,Provide information about the X closest REGION to REGION.,0
Nearest Neighbor Query,Retrieve the nearest line within LINE compared to LINE.,0
Nearest Neighbor Query,Retrieve the nearest line within LINE compared to POINT.,0
Nearest Neighbor Query,Retrieve the nearest line within LINE compared to REGION.,0
Nearest Neighbor Query,Retrieve the nearest point within POINT compared to LINE.,0
Nearest Neighbor Query,Retrieve the nearest point within POINT compared to POINT.,0
Nearest Neighbor Query,Retrieve the nearest point within POINT compared to REGION.,0
Nearest Neighbor Query,Retrieve the nearest region within REGION compared to LINE.,0
Nearest Neighbor Query,Retrieve the nearest region within REGION compared to POINT.,0
Nearest Neighbor Query,Retrieve the nearest region within REGION compared to REGION.,0
Nearest Neighbor Query,Select the closest line in LINE to LINE.,0
Nearest Neighbor Query,Select the closest line in LINE to POINT.,0
Nearest Neighbor Query,Select the closest line in LINE to REGION.,0
Nearest Neighbor Query,Select the closest line to LINE within LINE.,1
Nearest Neighbor Query,Select the closest line to POINT within LINE.,1
Nearest Neighbor Query,Select the closest line to REGION within LINE.,1
Nearest Neighbor Query,Select the closest point in POINT to LINE.,0
Nearest Neighbor Query,Select the closest point in POINT to POINT.,0
Nearest Neighbor Query,Select the closest point in POINT to REGION.,0
Nearest Neighbor Query,Select the closest point to LINE within POINT.,1
Nearest Neighbor Query,Select the closest point to POINT within POINT.,1
Nearest Neighbor Query,Select the closest point to REGION within POINT.,1
Nearest Neighbor Query,Select the closest region in REGION to LINE.,0
Nearest Neighbor Query,Select the closest region in REGION to POINT.,0
Nearest Neighbor Query,Select the closest region in REGION to REGION.,0
Nearest Neighbor Query,Select the closest region to LINE within REGION.,1
Nearest Neighbor Query,Select the closest region to POINT within REGION.,1
Nearest Neighbor Query,Select the closest region to REGION within REGION.,1
Nearest Neighbor Query,Select the nearest line in LINE to LINE.,0
Nearest Neighbor Query,Select the nearest line in LINE to POINT.,0
Nearest Neighbor Query,Select the nearest line in LINE to REGION.,0
Nearest Neighbor Query,Select the nearest point in POINT to LINE.,0
Nearest Neighbor Query,Select the nearest point in POINT to POINT.,0
Nearest Neighbor Query,Select the nearest point in POINT to REGION.,0
Nearest Neighbor Query,Select the nearest region in REGION to LINE.,0
Nearest Neighbor Query,Select the nearest region in REGION to POINT.,0
Nearest Neighbor Query,Select the nearest region in REGION to REGION.,0
Nearest Neighbor Query,Show me the closest line in LINE from LINE.,0
Nearest Neighbor Query,Show me the closest line in LINE from POINT.,0
Nearest Neighbor Query,Show me the closest line in LINE from REGION.,0
Nearest Neighbor Query,Show me the closest LINE to LINE.,0
Nearest Neighbor Query,Show me the closest LINE to POINT.,0
Nearest Neighbor Query,Show me the closest LINE to REGION.,0
Nearest Neighbor Query,Show me the closest point in POINT from LINE.,0
Nearest Neighbor Query,Show me the closest point in POINT from POINT.,0
Nearest Neighbor Query,Show me the closest point in POINT from REGION.,0
Nearest Neighbor Query,Show me the closest POINT to LINE.,0
Nearest Neighbor Query,Show me the closest POINT to POINT.,0
Nearest Neighbor Query,Show me the closest POINT to REGION.,0
Nearest Neighbor Query,Show me the closest region in REGION from LINE.,0
Nearest Neighbor Query,Show me the closest region in REGION from POINT.,0
Nearest Neighbor Query,Show me the closest region in REGION from REGION.,0
Nearest Neighbor Query,Show me the closest REGION to LINE.,0
Nearest Neighbor Query,Show me the closest REGION to POINT.,0
Nearest Neighbor Query,Show me the closest REGION to REGION.,0
Nearest Neighbor Query,Show me the nearest LINE to LINE.,0
Nearest Neighbor Query,Show me the nearest LINE to POINT.,0
Nearest Neighbor Query,Show me the nearest LINE to REGION.,0
Nearest Neighbor Query,Show me the nearest POINT to LINE.,0
Nearest Neighbor Query,Show me the nearest POINT to POINT.,0
Nearest Neighbor Query,Show me the nearest POINT to REGION.,0
Nearest Neighbor Query,Show me the nearest REGION to LINE.,0
Nearest Neighbor Query,Show me the nearest REGION to POINT.,0
Nearest Neighbor Query,Show me the nearest REGION to REGION.,0
Nearest Neighbor Query,Show me the X closest LINE to LINE.,0
Nearest Neighbor Query,Show me the X closest LINE to POINT.,0
Nearest Neighbor Query,Show me the X closest LINE to REGION.,0
Nearest Neighbor Query,Show me the X closest POINT to LINE.,0
Nearest Neighbor Query,Show me the X closest POINT to POINT.,0
Nearest Neighbor Query,Show me the X closest POINT to REGION.,0
Nearest Neighbor Query,Show me the X closest REGION to LINE.,0
Nearest Neighbor Query,Show me the X closest REGION to POINT.,0
Nearest Neighbor Query,Show me the X closest REGION to REGION.,0
Nearest Neighbor Query,Show me the X nearest LINE to LINE.,0
Nearest Neighbor Query,Show me the X nearest LINE to POINT.,0
Nearest Neighbor Query,Show me the X nearest LINE to REGION.,0
Nearest Neighbor Query,Show me the X nearest POINT to LINE.,0
Nearest Neighbor Query,Show me the X nearest POINT to POINT.,0
Nearest Neighbor Query,Show me the X nearest POINT to REGION.,0
Nearest Neighbor Query,Show me the X nearest REGION to LINE.,0
Nearest Neighbor Query,Show me the X nearest REGION to POINT.,0
Nearest Neighbor Query,Show me the X nearest REGION to REGION.,0
Nearest Neighbor Query,Snapshot the nearest line in LINE to LINE.,0
Nearest Neighbor Query,Snapshot the nearest line in LINE to POINT.,0
Nearest Neighbor Query,Snapshot the nearest line in LINE to REGION.,0
Nearest Neighbor Query,Snapshot the nearest point in POINT to LINE.,0
Nearest Neighbor Query,Snapshot the nearest point in POINT to POINT.,0
Nearest Neighbor Query,Snapshot the nearest point in POINT to REGION.,0
Nearest Neighbor Query,Snapshot the nearest region in REGION to LINE.,0
Nearest Neighbor Query,Snapshot the nearest region in REGION to POINT.,0
Nearest Neighbor Query,Snapshot the nearest region in REGION to REGION.,0
Nearest Neighbor Query,What are the X closest LINE to LINE?,0
Nearest Neighbor Query,What are the X closest LINE to POINT?,0
Nearest Neighbor Query,What are the X closest LINE to REGION?,0
Nearest Neighbor Query,What are the X closest POINT to LINE?,0
Nearest Neighbor Query,What are the X closest POINT to POINT?,0
Nearest Neighbor Query,What are the X closest POINT to REGION?,0
Nearest Neighbor Query,What are the X closest REGION to LINE?,0
Nearest Neighbor Query,What are the X closest REGION to POINT?,0
Nearest Neighbor Query,What are the X closest REGION to REGION?,0
Nearest Neighbor Query,What are the X LINE closest to LINE?,0
Nearest Neighbor Query,What are the X LINE closest to POINT?,0
Nearest Neighbor Query,What are the X LINE closest to REGION?,0
Nearest Neighbor Query,What are the X nearest LINE to LINE?,0
Nearest Neighbor Query,What are the X nearest LINE to POINT?,0
Nearest Neighbor Query,What are the X nearest LINE to REGION?,0
Nearest Neighbor Query,What are the X nearest POINT to LINE?,0
Nearest Neighbor Query,What are the X nearest POINT to POINT?,0
Nearest Neighbor Query,What are the X nearest POINT to REGION?,0
Nearest Neighbor Query,What are the X nearest REGION to LINE?,0
Nearest Neighbor Query,What are the X nearest REGION to POINT?,0
Nearest Neighbor Query,What are the X nearest REGION to REGION?,0
Nearest Neighbor Query,What are the X POINT closest to LINE?,0
Nearest Neighbor Query,What are the X POINT closest to POINT?,0
Nearest Neighbor Query,What are the X POINT closest to REGION?,0
Nearest Neighbor Query,What are the X REGION closest to LINE?,0
Nearest Neighbor Query,What are the X REGION closest to POINT?,0
Nearest Neighbor Query,What are the X REGION closest to REGION?,0
Nearest Neighbor Query,What is the closest LINE to LINE?,0
Nearest Neighbor Query,What is the closest LINE to POINT?,0
Nearest Neighbor Query,What is the closest LINE to REGION?,0
Nearest Neighbor Query,What is the closest POINT to LINE?,0
Nearest Neighbor Query,What is the closest POINT to POINT?,0
Nearest Neighbor Query,What is the closest POINT to REGION?,0
Nearest Neighbor Query,What is the closest REGION to LINE?,0
Nearest Neighbor Query,What is the closest REGION to POINT?,0
Nearest Neighbor Query,What is the closest REGION to REGION?,0
Nearest Neighbor Query,What is the nearest LINE to LINE?,0
Nearest Neighbor Query,What is the nearest LINE to POINT?,0
Nearest Neighbor Query,What is the nearest LINE to REGION?,0
Nearest Neighbor Query,What is the nearest POINT to LINE?,0
Nearest Neighbor Query,What is the nearest POINT to POINT?,0
Nearest Neighbor Query,What is the nearest POINT to REGION?,0
Nearest Neighbor Query,What is the nearest REGION to LINE?,0
Nearest Neighbor Query,What is the nearest REGION to POINT?,0
Nearest Neighbor Query,What is the nearest REGION to REGION?,0
Nearest Neighbor Query,Which are the X LINE closest to LINE?,0
Nearest Neighbor Query,Which are the X LINE closest to POINT?,0
Nearest Neighbor Query,Which are the X LINE closest to REGION?,0
Nearest Neighbor Query,Which are the X POINT closest to LINE?,0
Nearest Neighbor Query,Which are the X POINT closest to POINT?,0
Nearest Neighbor Query,Which are the X POINT closest to REGION?,0
Nearest Neighbor Query,Which are the X REGION closest to LINE?,0
Nearest Neighbor Query,Which are the X REGION closest to POINT?,0
Nearest Neighbor Query,Which are the X REGION closest to REGION?,0
Nearest Neighbor Query,Which is the closest LINE to LINE?,0
Nearest Neighbor Query,Which is the closest LINE to POINT?,0
Nearest Neighbor Query,Which is the closest LINE to REGION?,0
Nearest Neighbor Query,Which is the closest POINT to LINE?,0
Nearest Neighbor Query,Which is the closest POINT to POINT?,0
Nearest Neighbor Query,Which is the closest POINT to REGION?,0
Nearest Neighbor Query,Which is the closest REGION to LINE?,0
Nearest Neighbor Query,Which is the closest REGION to POINT?,0
Nearest Neighbor Query,Which is the closest REGION to REGION?,0
Nearest Neighbor Query,Which is the nearest LINE to LINE?,0
Nearest Neighbor Query,Which is the nearest LINE to POINT?,0
Nearest Neighbor Query,Which is the nearest LINE to REGION?,0
Nearest Neighbor Query,Which is the nearest POINT to LINE?,0
Nearest Neighbor Query,Which is the nearest POINT to POINT?,0
Nearest Neighbor Query,Which is the nearest POINT to REGION?,0
Nearest Neighbor Query,Which is the nearest REGION to LINE?,0
Nearest Neighbor Query,Which is the nearest REGION to POINT?,0
Nearest Neighbor Query,Which is the nearest REGION to REGION?,0
Nearest Neighbor Query,Which LINE are the X closest to LINE?,0
Nearest Neighbor Query,Which LINE are the X closest to POINT?,0
Nearest Neighbor Query,Which LINE are the X closest to REGION?,0
Nearest Neighbor Query,Which POINT are the X closest to LINE?,0
Nearest Neighbor Query,Which POINT are the X closest to POINT?,0
Nearest Neighbor Query,Which POINT are the X closest to REGION?,0
Nearest Neighbor Query,Which REGION are the X closest to LINE?,0
Nearest Neighbor Query,Which REGION are the X closest to POINT?,0
Nearest Neighbor Query,Which REGION are the X closest to REGION?,0
Nearest Neighbor Query,Zoom in on the closest line in LINE from LINE.,0
Nearest Neighbor Query,Zoom in on the closest line in LINE from POINT.,0
Nearest Neighbor Query,Zoom in on the closest line in LINE from REGION.,0
Nearest Neighbor Query,Zoom in on the closest point in POINT from LINE.,0
Nearest Neighbor Query,Zoom in on the closest point in POINT from POINT.,0
Nearest Neighbor Query,Zoom in on the closest point in POINT from REGION.,0
Nearest Neighbor Query,Zoom in on the closest region in REGION from LINE.,0
Nearest Neighbor Query,Zoom in on the closest region in REGION from POINT.,0
Nearest Neighbor Query,Zoom in on the closest region in REGION from REGION.,0
Nearest Neighbor Query,Zoom in on the nearest line in LINE from LINE.,0
Nearest Neighbor Query,Zoom in on the nearest line in LINE from POINT.,0
Nearest Neighbor Query,Zoom in on the nearest line in LINE from REGION.,0
Nearest Neighbor Query,Zoom in on the nearest point in POINT from LINE.,0
Nearest Neighbor Query,Zoom in on the nearest point in POINT from POINT.,0
Nearest Neighbor Query,Zoom in on the nearest point in POINT from REGION.,0
Nearest Neighbor Query,Zoom in on the nearest region in REGION from LINE.,0
Nearest Neighbor Query,Zoom in on the nearest region in REGION from POINT.,0
Nearest Neighbor Query,Zoom in on the nearest region in REGION from REGION.,0
Range Query,Alert me of all lines in LINE that are X km or less from LINE.,0
Range Query,Alert me of all lines in LINE that are X km or less from POINT.,0
Range Query,Alert me of all lines in LINE that are X km or less from REGION.,0
Range Query,Alert me of all points in POINT that are X km or less from LINE.,0
Range Query,Alert me of all points in POINT that are X km or less from POINT.,0
Range Query,Alert me of all points in POINT that are X km or less from REGION.,0
Range Query,Alert me of all regions in REGION that are X km or less from LINE.,0
Range Query,Alert me of all regions in REGION that are X km or less from POINT.,0
Range Query,Alert me of all regions in REGION that are X km or less from REGION.,0
Range Query,Annotate lines in LINE located within X kilometers of LINE.,0
Range Query,Annotate lines in LINE located within X kilometers of POINT.,0
Range Query,Annotate lines in LINE located within X kilometers of REGION.,0
Range Query,Annotate points in POINT located within X kilometers of LINE.,0
Range Query,Annotate points in POINT located within X kilometers of POINT.,0
Range Query,Annotate points in POINT located within X kilometers of REGION.,0
Range Query,Annotate regions in REGION located within X kilometers of LINE.,0
Range Query,Annotate regions in REGION located within X kilometers of POINT.,0
Range Query,Annotate regions in REGION located within X kilometers of REGION.,0
Range Query,Browse for all lines in LINE that are within X kilometers from LINE.,0
Range Query,Browse for all lines in LINE that are within X kilometers from POINT.,0
Range Query,Browse for all lines in LINE that are within X kilometers from REGION.,0
Range Query,Browse for all points in POINT that are within X kilometers from LINE.,0
Range Query,Browse for all points in POINT that are within X kilometers from POINT.,0
Range Query,Browse for all points in POINT that are within X kilometers from REGION.,0
Range Query,Browse for all regions in REGION that are within X kilometers from LINE.,0
Range Query,Browse for all regions in REGION that are within X kilometers from POINT.,0
Range Query,Browse for all regions in REGION that are within X kilometers from REGION.,0
Range Query,Bulid a directory of all lines within a X km radius of LINE in LINE.,1
Range Query,Bulid a directory of all lines within a X km radius of POINT in LINE.,1
Range Query,Bulid a directory of all lines within a X km radius of REGION in LINE.,1
Range Query,Bulid a directory of all points within a X km radius of LINE in POINT.,1
Range Query,Bulid a directory of all points within a X km radius of POINT in POINT.,1
Range Query,Bulid a directory of all points within a X km radius of REGION in POINT.,1
Range Query,Bulid a directory of all regions within a X km radius of LINE in REGION.,1
Range Query,Bulid a directory of all regions within a X km radius of POINT in REGION.,1
Range Query,Bulid a directory of all regions within a X km radius of REGION in REGION.,1
Range Query,Bulid a directory of lines in LINE located within X kilometers of LINE.,0
Range Query,Bulid a directory of lines in LINE located within X kilometers of POINT.,0
Range Query,Bulid a directory of lines in LINE located within X kilometers of REGION.,0
Range Query,Bulid a directory of points in POINT located within X kilometers of LINE.,0
Range Query,Bulid a directory of points in POINT located within X kilometers of POINT.,0
Range Query,Bulid a directory of points in POINT located within X kilometers of REGION.,0
Range Query,Bulid a directory of regions in REGION located within X kilometers of LINE.,0
Range Query,Bulid a directory of regions in REGION located within X kilometers of POINT.,0
Range Query,Bulid a directory of regions in REGION located within X kilometers of REGION.,0
Range Query,Can you direct me to the LINE that are on LINE?,0
Range Query,Can you direct me to the LINE that are on REGION?,0
Range Query,Can you direct me to the POINT that are on LINE?,0
Range Query,Can you direct me to the POINT that are on REGION?,0
Range Query,Can you direct me to the REGION that are on LINE?,0
Range Query,Can you direct me to the REGION that are on REGION?,0
Range Query,Can you provide information about the LINE on LINE?,0
Range Query,Can you provide information about the LINE on REGION?,0
Range Query,Can you provide information about the POINT on LINE?,0
Range Query,Can you provide information about the POINT on REGION?,0
Range Query,Can you provide information about the REGION on LINE?,0
Range Query,Can you provide information about the REGION on REGION?,0
Range Query,Can you recommend any LINE that are on LINE?,0
Range Query,Can you recommend any LINE that are on REGION?,0
Range Query,Can you recommend any POINT that are on LINE?,0
Range Query,Can you recommend any POINT that are on REGION?,0
Range Query,Can you recommend any REGION that are on LINE?,0
Range Query,Can you recommend any REGION that are on REGION?,0
Range Query,Can you recommend the LINE located on LINE?,0
Range Query,Can you recommend the LINE located on REGION?,0
Range Query,Can you recommend the POINT located on LINE?,0
Range Query,Can you recommend the POINT located on REGION?,0
Range Query,Can you recommend the REGION located on LINE?,0
Range Query,Can you recommend the REGION located on REGION?,0
Range Query,Can you tell me the LINE operating on LINE?,0
Range Query,Can you tell me the LINE operating on POINT?,0
Range Query,Can you tell me the LINE operating on REGION?,0
Range Query,Can you tell me the POINT operating on LINE?,0
Range Query,Can you tell me the POINT operating on REGION?,0
Range Query,Can you tell me the REGION operating on LINE?,0
Range Query,Can you tell me the REGION operating on POINT?,0
Range Query,Can you tell me the REGION operating on REGION?,0
Range Query,Can you tell me which LINE are on LINE?,0
Range Query,Can you tell me which LINE are on REGION?,0
Range Query,Can you tell me which POINT are on LINE?,0
Range Query,Can you tell me which POINT are on REGION?,0
Range Query,Can you tell me which REGION are on LINE?,0
Range Query,Can you tell me which REGION are on REGION?,0
Range Query,Catalog all lines in LINE within a range of X kilometers from LINE.,0
Range Query,Catalog all lines in LINE within a range of X kilometers from POINT.,0
Range Query,Catalog all lines in LINE within a range of X kilometers from REGION.,0
Range Query,Catalog all points in POINT within a range of X kilometers from LINE.,0
Range Query,Catalog all points in POINT within a range of X kilometers from POINT.,0
Range Query,Catalog all points in POINT within a range of X kilometers from REGION.,0
Range Query,Catalog all regions in REGION within a range of X kilometers from LINE.,0
Range Query,Catalog all regions in REGION within a range of X kilometers from POINT.,0
Range Query,Catalog all regions in REGION within a range of X kilometers from REGION.,0
Range Query,Cherry-pick lines in LINE situated within a X-kilometer range of LINE.,0
Range Query,Cherry-pick lines in LINE situated within a X-kilometer range of POINT.,0
Range Query,Cherry-pick lines in LINE situated within a X-kilometer range of REGION.,0
Range Query,Cherry-pick points in POINT situated within a X-kilometer range of LINE.,0
Range Query,Cherry-pick points in POINT situated within a X-kilometer range of POINT.,0
Range Query,Cherry-pick points in POINT situated within a X-kilometer range of REGION.,0
